DATE,DB,WB,Hour,Minute,Day,Weekend,Utility Subtotal,Scored Labels
5/21/2017 10:00:00 AM,65,50,10,600,1,1,342.743103,345.382507324219
7/21/2017 12:00:00 PM,90,72,12,720,6,0,830.9000244,833.090698242188
6/4/2017 6:00:00 PM,62,58,18,1080,1,1,304.1000061,294.6572265625
9/9/2017 3:00:00 AM,57,53,3,180,7,1,355.3999939,366.804504394531
5/25/2017 6:00:00 PM,58,57,18,1080,5,0,341.6000061,336.05810546875
6/28/2017 10:00:00 AM,71,59,10,600,4,0,428.7000122,496.009826660156
9/14/2017 12:00:00 PM,78,71,12,720,5,0,605.7000122,589.423706054688
3/11/2017 2:00:00 AM,20,16,2,120,7,1,285.5750122,275.051940917969
6/12/2017 6:00:00 AM,77,67,6,360,2,0,459.2000122,445.363433837891
2/28/2017 12:00:00 PM,56,47,12,720,3,0,405.2749939,385.919738769531
3/30/2017 7:00:00 PM,45,39,19,1140,5,0,516.9249878,529.3701171875
8/28/2017 4:00:00 AM,63,58,4,240,2,0,556.7000122,562.043212890625
11/25/2017 5:00:00 AM,43,38,5,300,7,1,255.3098755,288.276580810547
11/2/2017 6:00:00 AM,60,59,6,360,5,0,294,301.434661865234
9/17/2017 8:00:00 PM,70,67,20,1200,1,1,521.9174805,541.921142578125
1/13/2017 5:00:00 AM,56,52,5,300,6,0,277.6000061,252.009231567383
6/16/2017 2:00:00 PM,68,65,14,840,6,0,470.2000122,468.306640625
7/26/2017 7:00:00 PM,71,61,19,1140,4,0,642,663.021728515625
9/11/2017 5:00:00 AM,55,52,5,300,2,0,283.1000061,332.484832763672
3/30/2017 6:00:00 AM,38,32,6,360,5,0,388.5249939,395.798431396484
9/8/2017 7:00:00 PM,68,58,19,1140,6,0,432,456.962829589844
4/23/2017 8:00:00 AM,51,44,8,480,1,1,269.7999878,275.145477294922
1/12/2017 8:00:00 AM,54,52,8,480,5,0,289.0249939,262.021759033203
12/31/2016 7:00:00 PM,43,36,19,1140,7,1,439.7749939,438.101226806641
12/8/2017 8:00:00 PM,36,29,20,1200,6,0,327.4693604,329.502136230469
5/21/2017 4:00:00 PM,63,49,16,960,1,1,340.3329773,348.161193847656
6/24/2017 2:00:00 AM,74,73,2,120,7,1,461.3999939,440.744476318359
3/26/2017 1:00:00 AM,42,38,1,60,1,1,446.7250061,440.139129638672
3/28/2017 3:00:00 PM,43,42,15,900,3,0,599.2249756,582.869506835938
10/5/2017 11:00:00 PM,72,68,23,1380,5,0,491.7999878,486.298004150391
5/20/2017 7:00:00 PM,58,50,19,1140,7,1,348.7684631,372.721923828125
11/26/2017 5:00:00 AM,46,40,5,300,1,1,257.0042419,250.771850585938
7/24/2017 5:00:00 AM,69,68,5,300,2,0,550,583.410339355469
11/20/2017 3:00:00 PM,46,37,15,900,2,0,352.7849121,356.625366210938
3/19/2017 8:00:00 PM,42,32,20,1200,1,1,439.7250061,445.065612792969
5/7/2017 7:00:00 AM,50,46,7,420,1,1,451.2999878,426.530242919922
8/15/2017 12:00:00 AM,73,69,0,0,3,0,736.5,747.282287597656
8/16/2017 9:00:00 AM,75,69,9,540,4,0,718.5999756,717.117736816406
8/13/2017 4:00:00 AM,73,71,4,240,1,1,692.7562256,703.556457519531
6/18/2017 5:00:00 AM,72,71,5,300,1,1,393.2999878,403.840118408203
5/26/2017 1:00:00 AM,57,56,1,60,6,0,291.6000061,285.91162109375
7/29/2017 5:00:00 AM,71,59,5,300,7,1,581.7000122,577.006225585938
1/26/2017 11:00:00 PM,43,37,23,1380,5,0,269.6499939,277.968383789063
7/9/2017 11:00:00 AM,78,63,11,660,1,1,640.2999878,649.453857421875
3/28/2017 12:00:00 AM,46,45,0,0,3,0,524.125,518.979431152344
7/20/2017 1:00:00 AM,82,71,1,60,5,0,869.0747681,850.282470703125
8/15/2017 3:00:00 AM,69,68,3,180,3,0,647.7999878,640.899658203125
1/1/2017 11:00:00 PM,41,33,23,1380,1,1,434.2250061,452.876220703125
11/6/2017 6:00:00 PM,61,56,18,1080,2,0,461.5,464.127960205078
7/16/2017 11:00:00 PM,76,69,23,1380,1,1,817.2532959,836.273986816406
9/25/2017 10:00:00 PM,71,66,22,1320,2,0,482.2999878,474.637512207031
1/2/2017 5:00:00 PM,39,38,17,1020,2,0,451.8999939,450.514953613281
4/28/2017 2:00:00 PM,83,63,14,840,6,0,524.2000122,519.378540039063
7/4/2017 10:00:00 PM,76,66,22,1320,3,0,648.7999878,646.867858886719
7/17/2017 2:00:00 AM,74,69,2,120,2,0,819.354187,830.828552246094
8/19/2017 4:00:00 AM,74,73,4,240,7,1,786.5999756,797.965393066406
6/28/2017 9:00:00 PM,75,60,21,1260,4,0,487.3999939,477.467742919922
4/18/2017 3:00:00 AM,54,44,3,180,3,0,313,299.464721679688
7/17/2017 4:00:00 PM,82,74,16,960,2,0,829.1582642,827.038208007813
8/30/2017 2:00:00 AM,61,60,2,120,4,0,583.2999878,589.661376953125
12/7/2017 12:00:00 AM,40,33,0,0,5,0,279.0679321,291.682983398438
4/24/2017 10:00:00 AM,57,50,10,600,2,0,380.6000061,374.143402099609
5/3/2017 1:00:00 PM,62,49,13,780,4,0,451.2999878,426.651824951172
11/5/2017 10:00:00 AM,56,53,10,600,1,1,345.3999939,340.266754150391
12/7/2017 5:00:00 AM,38,32,5,300,5,0,278.98172,259.446899414063
3/17/2017 7:00:00 PM,43,33,19,1140,6,0,461.7000122,463.894653320313
3/22/2017 4:00:00 PM,32,23,16,960,4,0,532.8499756,543.989318847656
1/1/2017 3:00:00 AM,45,37,3,180,1,1,416.4249878,426.131164550781
1/13/2017 2:00:00 AM,60,56,2,120,6,0,280.8999939,291.022674560547
6/15/2017 7:00:00 PM,68,59,19,1140,5,0,406.1000061,381.84814453125
3/14/2017 7:00:00 PM,30,27,19,1140,3,0,457.9249878,430.538330078125
9/4/2017 12:00:00 AM,64,60,0,0,2,0,560.0499878,555.367004394531
6/23/2017 4:00:00 PM,81,75,16,960,6,0,582.2000122,537.613464355469
7/18/2017 11:00:00 PM,79,74,23,1380,3,0,850.8672485,823.673461914063
5/26/2017 4:00:00 PM,72,62,16,960,6,0,339.2000122,329.214965820313
5/14/2017 1:00:00 AM,46,46,1,60,1,1,413.8423462,424.700744628906
4/27/2017 10:00:00 PM,57,56,22,1320,5,0,444.5,444.824859619141
3/19/2017 5:00:00 AM,34,31,5,300,1,1,431.8500061,425.8818359375
9/12/2017 1:00:00 AM,65,58,1,60,3,0,395.5,415.106567382813
1/14/2017 10:00:00 PM,31,30,22,1320,7,1,248.375,245.471176147461
8/11/2017 8:00:00 AM,74,66,8,480,6,0,644.1206055,634.943908691406
6/3/2017 3:00:00 PM,71,54,15,900,7,1,437.3999939,354.877288818359
6/21/2017 10:00:00 PM,75,65,22,1320,4,0,435.8999939,406.968017578125
9/25/2017 1:00:00 PM,87,73,13,780,2,0,597.2999878,573.328735351563
12/31/2016 11:00:00 PM,44,36,23,1380,7,1,436.7000122,423.548583984375
11/3/2017 4:00:00 PM,73,63,16,960,6,0,506.7999878,522.048767089844
11/9/2017 3:00:00 PM,54,46,15,900,5,0,409,399.044952392578
9/21/2017 8:00:00 PM,76,68,20,1200,5,0,486.7999878,485.821105957031
1/1/2017 2:00:00 PM,47,37,14,840,1,1,439.875,435.516784667969
10/2/2017 7:00:00 AM,54,50,7,420,2,0,306.7000122,322.976043701172
11/14/2017 1:00:00 PM,46,40,13,780,3,0,363.6000061,379.647033691406
10/19/2017 9:00:00 PM,64,54,21,1260,5,0,469.29953,466.446197509766
9/19/2017 1:00:00 PM,77,68,13,780,3,0,512.6775513,500.451324462891
3/30/2017 3:00:00 AM,40,33,3,180,5,0,386.125,379.964385986328
10/23/2017 8:00:00 PM,70,66,20,1200,2,0,524.7199707,540.341918945313
9/29/2017 1:00:00 PM,66,54,13,780,6,0,466.8999939,398.215881347656
11/18/2017 2:00:00 PM,50,44,14,840,7,1,332.2999878,340.142211914063
4/24/2017 2:00:00 AM,50,44,2,120,2,0,304.2999878,294.284729003906
10/14/2017 7:00:00 AM,62,61,7,420,7,1,296.1000061,288.214050292969
4/15/2017 12:00:00 PM,61,49,12,720,7,1,336.8999939,339.358428955078
7/21/2017 8:00:00 AM,81,72,8,480,6,0,791.9000244,801.181457519531
10/3/2017 9:00:00 AM,64,57,9,540,3,0,350.3999939,357.610198974609
9/30/2017 2:00:00 AM,59,54,2,120,7,1,298.6000061,266.214538574219
3/26/2017 3:00:00 PM,41,38,15,900,1,1,453.9750061,473.702239990234
4/7/2017 11:00:00 PM,41,35,23,1380,6,0,287.3250122,293.997253417969
5/30/2017 11:00:00 PM,57,57,23,1380,3,0,302.3999939,317.347351074219
