time,roof mechanical,DB,WB,Scored Labels
7/12/2016 6:51:00 AM,-65.8,72,66,-84.089599609375
5/5/2016 6:51:00 AM,-111.8,48,45,-124.252281188965
4/29/2016 12:51:00 PM,-148,56,46,-161.976898193359
4/7/2016 10:14:00 AM,-142.55,54,51,-116.851959228516
10/3/2016 9:51:00 AM,0,64,60,-1.24373769760132
2/2/2016 12:51:00 PM,224.45,48,38,234.762573242188
6/16/2016 5:51:00 AM,-158.2,67,66,-156.871231079102
1/3/2016 7:51:00 PM,-25,39,33,-27.5377521514893
6/8/2016 9:51:00 AM,-116.5,66,55,-56.6234970092773
11/1/2016 2:51:00 AM,0,43,39,-0.902658402919769
2/18/2016 5:51:00 PM,-145.35,33,25,-166.222122192383
4/9/2016 2:51:00 AM,-79.35,38,31,-75.7763061523438
1/4/2016 3:51:00 AM,-23.6,34,28,-14.3845567703247
2/25/2016 12:47:00 PM,-135.65,48,42,-125.037307739258
3/4/2016 11:51:00 PM,65.95,33,27,53.8359603881836
1/21/2016 9:51:00 PM,214.8,28,23,201.653778076172
9/30/2016 1:51:00 PM,-46.9,59,58,-49.2995758056641
5/30/2016 10:03:00 AM,72,73,70,84.6630859375
4/17/2016 6:51:00 PM,-123.1,61,47,-134.039093017578
11/5/2016 1:51:00 PM,0,60,51,1.58107089996338
9/3/2016 11:51:00 PM,-111.85,67,62,-127.40731048584
1/15/2016 4:51:00 PM,208.3,49,44,211.033325195313
9/3/2016 4:51:00 AM,-107.65,68,64,-105.572463989258
9/29/2016 4:51:00 PM,-64.5,63,57,-49.0231895446777
7/8/2016 9:51:00 PM,-81.8,68,66,-81.4652557373047
8/12/2016 7:51:00 PM,121.25,83,74,88.422248840332
11/27/2016 5:51:00 PM,0,46,38,0.443591207265854
2/4/2016 4:31:00 AM,159.35,58,56,155.492828369141
12/19/2016 2:51:00 AM,0,29,23,-2.52773475646973
5/2/2016 2:49:00 AM,-95.1,45,44,-106.256530761719
12/5/2016 6:51:00 AM,0,39,38,2.28988599777222
3/9/2016 10:51:00 AM,77.55,65,52,85.5261917114258
8/15/2016 5:51:00 PM,-77.85,88,73,103.983901977539
8/8/2016 3:51:00 PM,105.4,83,69,95.2606353759766
7/26/2016 4:51:00 AM,-118.25,72,69,-74.9303131103516
4/4/2016 4:51:00 PM,74.25,39,38,61.4959564208984
6/2/2016 8:51:00 PM,-103.35,64,61,-109.338333129883
3/29/2016 5:51:00 AM,61.55,44,37,73.6629486083984
2/4/2016 1:51:00 PM,225.1,51,42,227.742889404297
11/7/2016 3:51:00 AM,0,43,37,0.15100970864296
11/2/2016 7:51:00 PM,0,67,60,0.500322461128235
8/4/2016 6:51:00 AM,72.65,71,66,65.4979553222656
1/28/2016 5:51:00 PM,228.95,40,32,222.805328369141
3/31/2016 8:51:00 PM,80.1,62,55,57.1220245361328
3/20/2016 6:51:00 AM,69.7,32,25,54.2377166748047
12/16/2016 2:51:00 PM,0,26,21,-0.363347142934799
4/6/2016 3:51:00 PM,-149.2,43,35,-53.6426162719727
1/17/2016 12:51:00 AM,208.3,42,36,216.900375366211
5/3/2016 10:51:00 PM,-141.45,52,50,-141.607376098633
3/1/2016 1:51:00 AM,46.5,46,38,43.2766075134277
2/8/2016 5:33:00 PM,227.7,32,28,221.821304321289
9/9/2016 3:51:00 AM,-49.15,82,73,-66.9313583374023
1/14/2016 12:51:00 AM,185.05,23,18,190.7880859375
3/5/2016 11:51:00 PM,49.7,34,29,41.7624778747559
8/24/2016 4:51:00 AM,-124.2,68,62,-118.967514038086
9/24/2016 3:51:00 AM,-125.6,60,57,-130.208511352539
10/30/2016 1:51:00 AM,0,62,56,-7.83957958221436
12/12/2016 11:49:00 AM,-92.35,43,41,-88.9625625610352
11/20/2016 10:51:00 PM,0,38,32,-1.32113325595856
1/18/2016 5:51:00 PM,208.3,23,18,179.466934204102
8/10/2016 8:51:00 AM,143.4,80,75,125.008026123047
4/26/2016 3:59:00 PM,-141.5,52,50,60.1469573974609
12/17/2016 12:51:00 PM,0,34,34,-0.556652426719666
2/15/2016 7:29:00 PM,-102.85,32,31,-97.272331237793
2/25/2016 7:51:00 PM,-140.4,39,35,-137.44157409668
11/10/2016 7:51:00 PM,0,54,45,0.59431529045105
3/29/2016 3:51:00 PM,69.85,52,38,63.5517692565918
7/17/2016 2:51:00 AM,-64.7,76,68,-57.1493110656738
8/6/2016 7:59:00 AM,118.2,76,72,122.337814331055
8/31/2016 7:51:00 PM,-59.2,80,71,-60.9687042236328
9/23/2016 4:51:00 PM,-90.05,82,69,-77.0280609130859
4/3/2016 4:11:00 AM,42.1,39,36,49.56494140625
3/6/2016 2:51:00 AM,44.85,34,26,56.8386611938477
9/19/2016 10:51:00 PM,96.75,70,68,101.239517211914
7/24/2016 2:51:00 PM,-84.35,89,72,-86.3821105957031
7/12/2016 3:51:00 AM,-57.6,69,64,-66.7919692993164
1/21/2016 10:51:00 AM,227.25,32,26,227.550842285156
12/1/2016 3:46:00 AM,0,52,51,0.051714614033699
11/1/2016 3:51:00 AM,0,41,38,0.718521416187286
2/19/2016 7:51:00 PM,-117.55,37,33,-114.092842102051
4/4/2016 10:51:00 AM,72.1,43,41,82.4413757324219
7/9/2016 9:26:00 PM,-75.6,67,66,-72.7184143066406
9/27/2016 4:38:00 AM,-117.15,65,64,-117.729232788086
3/23/2016 3:51:00 PM,-139.45,71,51,-30.409387588501
3/31/2016 5:51:00 PM,84.2,65,55,97.6420364379883
2/16/2016 11:51:00 PM,-116.2,38,33,-103.287857055664
5/7/2016 7:03:00 AM,-104.05,50,48,-111.144172668457
9/29/2016 3:44:00 AM,-63.6,60,57,-79.9332809448242
7/9/2016 8:51:00 AM,-77.6,68,63,-79.7685165405273
7/9/2016 10:51:00 AM,-78,71,65,-87.0565872192383
11/20/2016 7:51:00 PM,0,40,33,0.499232143163681
10/2/2016 6:51:00 AM,0,57,55,-0.398605585098267
7/16/2016 12:51:00 PM,-86.4,88,75,-79.7905807495117
10/19/2016 12:51:00 PM,0,82,69,-0.578905403614044
12/7/2016 4:51:00 AM,82.4,40,39,71.4527053833008
2/23/2016 10:51:00 PM,-135.95,35,34,-137.984115600586
1/12/2016 3:51:00 AM,177.9666667,26,20,186.625183105469
3/9/2016 7:51:00 PM,81.3,71,55,92.3826293945313
1/10/2016 10:45:00 AM,184.2,57,56,179.928512573242
5/24/2016 4:51:00 AM,-182.75,58,57,-180.730056762695
8/12/2016 3:51:00 AM,105.55,74,73,90.3378372192383
1/4/2016 5:51:00 PM,192.4,21,17,186.826370239258
11/14/2016 1:51:00 PM,0,62,46,1.42901372909546
5/5/2016 6:51:00 PM,-144.1,55,49,-134.754211425781
7/21/2016 9:51:00 AM,-128.05,82,68,-144.541091918945
6/9/2016 4:10:00 PM,-122.4,71,53,-118.319389343262
5/1/2016 4:51:00 PM,-136.35,48,47,-137.548522949219
11/30/2016 2:51:00 PM,0,53,52,0.0785720720887184
6/5/2016 2:51:00 PM,-88.2,70,68,-90.0868911743164
10/24/2016 10:51:00 AM,0,59,50,0.0928891599178314
5/9/2016 7:51:00 PM,74.6,65,52,-88.1748275756836
2/23/2016 10:51:00 AM,-128.8,38,34,-153.121841430664
10/26/2016 4:51:00 AM,0,39,34,1.06211137771606
10/2/2016 3:51:00 AM,0,57,55,-0.398605585098267
6/3/2016 5:51:00 AM,-58.5,64,60,-60.0495681762695
6/28/2016 10:51:00 AM,-148.6,71,68,-146.201065063477
2/19/2016 7:51:00 AM,-97.9,27,21,-121.430114746094
4/13/2016 6:51:00 AM,-78,42,35,-75.5724716186523
1/5/2016 11:51:00 PM,192.7,27,21,172.809539794922
9/12/2016 9:51:00 AM,17.75,70,60,-42.6093940734863
7/7/2016 10:51:00 AM,69.75,86,75,0.532074570655823
12/25/2016 4:51:00 PM,0,46,39,-0.731694996356964
11/24/2016 9:51:00 AM,0,45,40,-0.505475103855133
11/15/2016 9:51:00 AM,0,48,47,0.00540859159082174
